ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
T20120002451,A,2006.0,1.0,E,1.0,Paved,V,SEDAN,MITSUB,LANCER,,1,Car,,R,P,4.0,4.0,5.0,1180.0,1.0,,,E,1.0,1.0,H,SIL,ZZ,2.0,5,2.0,5,1.0,0.0,No control
T20120002452,A,1928.0,1.0,W,1.0,Paved,V,SEDAN,FORD,1928,,1,Car,,R,P,4.0,8.0,4.0,1200.0,2.0,,,W,1.0,18.0,H,PUR,ZZ,1.0,1,2.0,5,1.0,0.0,No control
T20120002461,A,2003.0,2.0,E,1.0,Paved,V,SEDAN,HONDA,JAZZ,,1,Car,,R,P,4.0,4.0,5.0,1050.0,1.0,,,E,99.0,99.0,H,SIL,ZZ,2.0,8,2.0,1,2.0,1.0,Stop-go lights
T20120002461,B,1992.0,1.0,E,1.0,Paved,V,SEDAN,HONDA,PRELUD,,1,Car,,R,P,4.0,4.0,4.0,1300.0,1.0,,,E,99.0,99.0,H,RED,ZZ,2.0,1,0.0,2,2.0,1.0,Stop-go lights
T20120002462,A,1998.0,1.0,N,1.0,Paved,V,S WAG,MITSUB,MAGNA,,2,Station Wagon,,R,P,4.0,6.0,5.0,1400.0,1.0,,,N,1.0,1.0,H,SIL,ZZ,2.0,2,2.0,1,2.0,99.0,Unknown
T20120002464,A,,1.0,N,1.0,Paved,V,TRAM,UNKN,YARRA,,15,Tram,,,Z,,,,,1.0,,,N,1.0,1.0,H,ZZ,ZZ,2.0,2,2.0,6,2.0,1.0,Stop-go lights
T20120002468,A,2005.0,1.0,SE,1.0,Paved,V,CYCLE,H DAV,FLSTC,,10,Motor Cycle,,,Z,,2.0,,,2.0,,,SE,17.0,17.0,H,WHI,ZZ,2.0,N,2.0,6,2.0,99.0,Unknown
T20120002473,A,2000.0,1.0,N,1.0,Paved,V,VAN,TOYOTA,DYNA,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,4495.0,R,D,4.0,4.0,3.0,3520.0,3.0,975.0,,N,1.0,1.0,H,WHI,ZZ,2.0,9,2.0,1,2.0,0.0,No control
T20120002474,A,2006.0,1.0,E,1.0,Paved,V,DC UTE,NISSAN,NAVARA,,4,Utility,,R,D,4.0,4.0,5.0,1900.0,1.0,,,E,1.0,1.0,H,BLK,ZZ,2.0,F,0.0,5,1.0,0.0,No control
T20120002474,B,2009.0,2.0,E,1.0,Paved,V,UTIL,NISSAN,NAVARA,,4,Utility,2805.0,R,D,4.0,4.0,5.0,1985.0,3.0,820.0,,S,2.0,17.0,B,WHI,ZZ,2.0,0,2.0,1,2.0,0.0,No control
T20120002475,A,2001.0,1.0,NW,1.0,Paved,V,SOLO,KAWASA,ER5,,10,Motor Cycle,,,P,2.0,2.0,,,1.0,,498.0,NW,1.0,18.0,H,BLK,ZZ,2.0,5,2.0,1,1.0,9.0,Roundabout
T20120002478,A,2003.0,8.0,E,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,8.0,5.0,1590.0,1.0,,,E,17.0,17.0,H,SIL,ZZ,2.0,R,2.0,2,2.0,9.0,Roundabout
T20120002478,B,2010.0,2.0,E,1.0,Paved,V,SEDAN,SUZUKI,ALTO,,1,Car,,R,P,4.0,3.0,4.0,883.0,1.0,,,E,17.0,17.0,H,BLK,ZZ,2.0,R,2.0,4,1.0,9.0,Roundabout
T20120002478,C,2008.0,1.0,E,1.0,Paved,V,COUPE,HYNDAI,GETZ,,1,Car,,R,P,4.0,4.0,5.0,1050.0,1.0,,,E,1.0,1.0,H,BLU,ZZ,2.0,F,2.0,2,2.0,9.0,Roundabout
T20120002479,A,2011.0,1.0,W,1.0,Paved,V,SEDAN,TOYOTA,COROLL,,1,Car,,R,P,4.0,4.0,5.0,1235.0,1.0,,,W,1.0,18.0,H,WHI,ZZ,2.0,5,2.0,5,1.0,9.0,Roundabout
T20120002480,A,2007.0,1.0,E,1.0,Paved,V,SOLO,HONDA,CBR600,,10,Motor Cycle,,,P,2.0,4.0,,,1.0,,600.0,NK,17.0,17.0,H,RED,BLK,2.0,F,2.0,1,2.0,11.0,Giveway sign
T20120002480,B,2005.0,2.0,E,1.0,Paved,V,SEDAN,TOYOTA,CAMRY,,1,Car,,R,P,4.0,4.0,5.0,1460.0,1.0,,,S,3.0,17.0,H,SIL,ZZ,2.0,R,2.0,1,2.0,11.0,Giveway sign
T20120002482,A,2010.0,8.0,E,1.0,Paved,V,SEDAN,TOYOTA,COROLA,,1,Car,,R,P,4.0,4.0,5.0,1080.0,0.0,,,E,11.0,11.0,H,BLU,ZZ,2.0,1,2.0,4,1.0,0.0,No control
T20120002482,B,2010.0,2.0,W,1.0,Paved,V,SED,FORD,FALCON,,3,Taxi,,R,M,4.0,6.0,5.0,1704.0,1.0,,,W,10.0,15.0,H,YLW,ZZ,2.0,R,2.0,2,2.0,0.0,No control
T20120002482,C,2007.0,1.0,W,1.0,Paved,V,SED,FORD,FALCON,,3,Taxi,,R,M,4.0,6.0,5.0,1648.0,1.0,,,W,1.0,1.0,H,YLW,ZZ,2.0,F,2.0,4,1.0,0.0,No control
T20120002482,D,1997.0,8.0,E,1.0,Paved,V,SEDAN,MERC B,C180,,1,Car,,R,P,4.0,4.0,5.0,1325.0,0.0,,1800.0,E,11.0,11.0,H,SIL,ZZ,2.0,3,2.0,4,1.0,0.0,No control
T20120002482,E,2011.0,8.0,NK,1.0,Paved,V,SED,TOYOTA,AURION,,3,Taxi,,R,M,4.0,6.0,5.0,1550.0,1.0,,,NK,11.0,11.0,H,YLW,GRN,2.0,2,2.0,2,2.0,0.0,No control
T20120002482,F,2007.0,8.0,W,1.0,Paved,V,BUS,TOYOTA,HIACE,,9,Mini Bus(9-13 seats),3150.0,R,P,4.0,4.0,10.0,2140.0,1.0,1010.0,,W,11.0,11.0,H,BLK,ZZ,2.0,4,2.0,2,2.0,0.0,No control
T20120002486,A,2010.0,1.0,E,1.0,Paved,V,SEDAN,B M W,118,,1,Car,,R,D,4.0,4.0,5.0,1250.0,3.0,,,E,1.0,1.0,H,BLK,ZZ,2.0,2,2.0,1,2.0,0.0,No control
T20120002486,B,,2.0,N,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,N,1.0,1.0,H,ZZ,ZZ,0.0,F,2.0,5,2.0,10.0,Stop sign
T20120002488,A,1998.0,1.0,N,3.0,Gravel,V,UTIL,HOLDEN,COMMOD,,4,Utility,,R,P,4.0,6.0,3.0,1450.0,1.0,,,N,1.0,1.0,H,BRN,ZZ,2.0,9,2.0,4,1.0,0.0,No control
T20120002490,A,1999.0,2.0,W,1.0,Paved,V,SEDAN,HYNDAI,EXCEL,,1,Car,,R,P,4.0,4.0,5.0,950.0,1.0,,,W,1.0,1.0,H,RED,ZZ,2.0,F,1.0,3,1.0,1.0,Stop-go lights
T20120002490,B,2005.0,1.0,E,1.0,Paved,V,COUPE,HOLDEN,ASTRA,,1,Car,,R,P,4.0,4.0,5.0,1100.0,1.0,,,S,2.0,2.0,H,SIL,ZZ,2.0,5,1.0,3,1.0,1.0,Stop-go lights
T20120002498,A,1998.0,1.0,E,1.0,Paved,V,SEDAN,MAZDA,ASTINA,,1,Car,,R,P,4.0,4.0,5.0,1150.0,1.0,,,S,2.0,2.0,H,GRN,ZZ,2.0,5,2.0,4,1.0,0.0,No control
T20120002498,B,2002.0,2.0,W,1.0,Paved,V,S WAG,FORD,FUTURA,,2,Station Wagon,,R,M,4.0,6.0,5.0,1794.0,3.0,,,W,1.0,1.0,H,SIL,ZZ,2.0,F,2.0,4,1.0,0.0,No control
T20120002499,A,2010.0,2.0,S,1.0,Paved,V,SEDAN,TOYOTA,COROLL,,1,Car,,R,P,4.0,4.0,5.0,1100.0,2.0,,,S,1.0,1.0,H,BLU,ZZ,2.0,R,2.0,1,2.0,0.0,No control
T20120002499,B,,1.0,S,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,S,1.0,1.0,H,ZZ,ZZ,0.0,F,2.0,1,2.0,0.0,No control
T20120002500,A,2007.0,1.0,E,1.0,Paved,V,SEDAN,FORD,MONDEO,,1,Car,,R,P,4.0,4.0,5.0,1562.0,1.0,,,E,1.0,9.0,H,SIL,ZZ,2.0,R,0.0,1,2.0,1.0,Stop-go lights
T20120002500,B,1996.0,2.0,W,1.0,Paved,V,SEDAN,HOLDEN,VSPC95,,1,Car,,R,P,4.0,6.0,5.0,1350.0,1.0,,3800.0,W,1.0,15.0,H,GRN,ZZ,2.0,F,2.0,1,2.0,1.0,Stop-go lights
T20120002501,A,2010.0,1.0,NW,1.0,Paved,V,SEDAN,MAZDA,3,,1,Car,,R,P,4.0,4.0,5.0,1335.0,1.0,,,NW,1.0,1.0,H,RED,ZZ,2.0,F,2.0,4,1.0,1.0,Stop-go lights
T20120002501,B,2009.0,2.0,NW,1.0,Paved,V,DC UTE,HOLDEN,COLORA,,4,Utility,2800.0,R,P,4.0,6.0,5.0,1615.0,1.0,1185.0,,NW,1.0,1.0,H,BLK,ZZ,2.0,R,2.0,1,2.0,1.0,Stop-go lights
