ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
T20120007784,B,2004.0,1.0,W,3.0,Gravel,V,SEDAN,TOYOTA,AVALON,,1,Car,,R,P,4.0,6.0,5.0,1560.0,4.0,,,S,3.0,17.0,H,SIL,ZZ,2.0,F,2.0,1,2.0,0.0,No control
T20120007786,A,2004.0,1.0,S,2.0,Unpaved,V,COUPE,HYNDAI,ACCENT,,1,Car,,R,P,4.0,4.0,5.0,1031.0,1.0,,,S,4.0,4.0,H,RED,ZZ,2.0,2,2.0,3,1.0,0.0,No control
T20120007786,B,2004.0,2.0,E,1.0,Paved,V,WAGON,B M W,X5,,2,Station Wagon,,R,D,4.0,6.0,5.0,2065.0,1.0,,,E,1.0,1.0,H,FWN,ZZ,2.0,1,2.0,2,2.0,0.0,No control
T20120007786,C,2008.0,8.0,E,1.0,Paved,V,WAGON,FORD,TERRIT,,2,Station Wagon,,R,P,4.0,6.0,5.0,1947.0,1.0,,,N,3.0,3.0,H,GRY,ZZ,2.0,N,2.0,6,2.0,0.0,No control
T20120007788,A,2008.0,2.0,E,1.0,Paved,V,SEDAN,TOYOTA,COROLL,,1,Car,,R,P,4.0,4.0,5.0,1260.0,1.0,,,E,17.0,15.0,H,GRY,ZZ,2.0,R,2.0,2,2.0,1.0,Stop-go lights
T20120007788,B,2002.0,1.0,E,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1512.0,1.0,,,E,99.0,1.0,H,GRY,ZZ,2.0,F,0.0,9,2.0,1.0,Stop-go lights
T20120007790,A,2005.0,1.0,N,1.0,Paved,V,TRACT,CASE,MXU110,,17,Other Vehicle,4890.0,R,D,4.0,4.0,1.0,4790.0,1.0,100.0,,N,1.0,1.0,F,RED,ZZ,2.0,5,0.0,6,2.0,0.0,No control
T20120007791,A,2007.0,1.0,NW,1.0,Paved,V,SEDAN,SUBARU,IMPREZ,,1,Car,,R,P,4.0,4.0,5.0,1330.0,1.0,,,NW,1.0,1.0,H,RED,ZZ,2.0,F,2.0,4,1.0,0.0,No control
T20120007791,B,2006.0,2.0,NW,1.0,Paved,V,SEDAN,HONDA,ACCORD,,1,Car,,R,P,4.0,4.0,5.0,1435.0,1.0,,,NW,1.0,1.0,H,BLK,ZZ,2.0,R,2.0,1,2.0,0.0,No control
T20120007791,C,2003.0,8.0,NW,1.0,Paved,V,SEDAN,HOLDEN,ASTRA,,1,Car,,R,P,4.0,4.0,5.0,1140.0,2.0,,,NW,1.0,1.0,H,BLU,ZZ,2.0,F,2.0,1,2.0,0.0,No control
